MagpieData mean Number,MagpieData mean MendeleevNumber,MagpieData mean AtomicWeight,MagpieData mean MeltingT,MagpieData mean Column,MagpieData mean Row,MagpieData mean CovalentRadius,MagpieData mean Electronegativity,MagpieData mean NsValence,MagpieData mean NpValence,MagpieData mean NdValence,MagpieData mean NfValence,MagpieData mean NValence,MagpieData mean NsUnfilled,MagpieData mean NpUnfilled,MagpieData mean NdUnfilled,MagpieData mean NfUnfilled,MagpieData mean NUnfilled,MagpieData mean GSvolume_pa,MagpieData mean GSbandgap,MagpieData mean GSmagmom,MagpieData mean SpaceGroupNumber,Volume (V),Predicted Bandgap,Predicted Seebeck Coefficient n (S.n.value),Predicted Thermal Conductivity n (kappa.n.value),Predicted Electrical Conductivity n (sigma.n.value)
29.5,58.333333333333336,66.83489166666666,2365.5,9.5,4.0,134.83333333333334,1.9666666666666668,1.6666666666666667,1.0,1.6666666666666667,0.5,4.833333333333333,0.3333333333333333,2.0,1.6666666666666667,1.8333333333333333,5.833333333333333,18.929166666666667,1.0070000000000001,0.0,216.66666666666666,97.6155,255.27007250000025,-134.64846235000002,1617260.0835317413,221673.55806130407
29.0,58.333333333333336,66.48393333333333,1186.1333333333334,9.333333333333334,4.0,139.83333333333334,1.9616666666666667,2.0,1.6666666666666667,4.0,0.0,7.666666666666667,0.0,1.3333333333333333,2.6666666666666665,0.0,4.0,25.07083333333333,0.0,7.5111111111e-06,160.16666666666666,120.056,502.6600755000001,-287.8843875150004,711538.5327254285,97220.28366785096
29.0,58.333333333333336,67.60863333333334,606.495,10.666666666666666,3.8333333333333335,132.66666666666666,2.2866666666666666,1.8333333333333333,2.1666666666666665,1.6666666666666667,0.0,5.666666666666667,0.16666666666666666,0.8333333333333334,0.0,0.0,1.0,30.159583333333334,0.4155,0.0,128.5,150.911,577.5745105000007,-451.25434206499995,261835.4075511561,36428.14481210099
23.333333333333332,57.666666666666664,52.048316666666665,2104.6666666666665,9.5,3.6666666666666665,130.0,1.7983333333333331,1.6666666666666667,1.0,1.8333333333333333,0.16666666666666666,4.666666666666667,0.3333333333333333,2.0,3.1666666666666665,2.1666666666666665,7.666666666666667,17.69,1.0070000000000001,0.0,216.66666666666666,87.7714,205.91409300000046,-109.84220751499998,1738431.057990738,237915.77497583308
21.833333333333332,60.0,48.654525,2196.5,10.5,3.3333333333333335,115.83333333333333,1.9299999999999997,2.0,0.6666666666666666,2.6666666666666665,0.5,5.833333333333333,0.0,2.3333333333333335,0.6666666666666666,1.8333333333333333,4.833333333333333,12.716666666666667,1.2573333333333334,0.19846490000000003,195.0,69.6226,212.95169500000029,-133.932801445,2547000.851723169,351230.94280351617
23.0,62.333333333333336,52.25325,2276.6666666666665,10.5,3.3333333333333335,114.0,1.9450000000000003,2.0,0.6666666666666666,2.6666666666666665,1.6666666666666667,7.0,0.0,2.3333333333333335,0.6666666666666666,0.6666666666666666,3.6666666666666665,11.9775,1.2573333333333334,0.19846490000000003,195.0,65.3565,208.99846450000032,-151.89182955500002,2420287.6697059353,332823.7393095041
23.333333333333332,63.0,53.046416666666666,2290.8333333333335,10.5,3.3333333333333335,113.5,1.9483333333333335,2.0,0.6666666666666666,2.6666666666666665,2.0,7.333333333333333,0.0,2.3333333333333335,0.6666666666666666,0.3333333333333333,3.3333333333333335,11.868333333333334,1.2573333333333334,0.19846490000000003,195.0,64.6649,214.10254550000028,-180.6538454350001,2287202.886876066,314079.72506048006
26.0,54.0,59.150979,905.4716666666667,9.333333333333334,3.6666666666666665,133.33333333333334,1.7283333333333335,1.5,1.0,3.3333333333333335,1.5,7.333333333333333,0.5,1.0,0.0,0.8333333333333334,2.3333333333333335,19.2684126984,0.5416666666666666,0.0,146.16666666666666,90.085,456.8217580000003,-392.737802505,411330.24601520714,57147.75930265494
23.166666666666668,62.666666666666664,52.65830333333333,2287.0,10.5,3.3333333333333335,114.0,1.9466666666666665,2.0,0.6666666666666666,2.6666666666666665,1.8333333333333333,7.166666666666667,0.0,2.3333333333333335,0.6666666666666666,0.5,3.5,11.89305555555,1.2573333333333334,0.19846490000000003,195.0,64.7845,203.27531150000033,-151.45790982999998,2425311.210682435,333464.3814745041
26.0,58.166666666666664,58.44813333333334,638.8616666666667,10.666666666666666,3.6666666666666665,129.0,2.2733333333333334,1.8333333333333333,2.1666666666666665,3.3333333333333335,0.0,7.333333333333333,0.16666666666666666,0.8333333333333334,0.0,0.0,1.0,27.87,0.24283333333333335,0.0,127.16666666666667,132.732,451.7375500000001,-438.20867019000013,259931.91061894112,36156.035051345985
23.5,63.333333333333336,53.32561833333333,2298.8333333333335,10.5,3.3333333333333335,113.66666666666667,1.95,2.0,0.6666666666666666,2.6666666666666665,2.1666666666666665,7.5,0.0,2.3333333333333335,0.6666666666666666,0.16666666666666666,3.1666666666666665,11.734166666666667,1.2573333333333334,0.19846490000000003,195.0,64.3538,206.84091650000028,-176.7582972450001,2238813.02565277,307174.248317666
22.833333333333332,62.0,51.657475,2267.3333333333335,10.5,3.3333333333333335,114.33333333333333,1.9433333333333334,2.0,0.6666666666666666,2.6666666666666665,1.5,6.833333333333333,0.0,2.3333333333333335,0.6666666666666666,0.8333333333333334,3.8333333333333335,12.060277777783334,1.2573333333333334,0.19846490000000003,195.0,65.6641,208.7761425000003,-148.24360068,2416814.708419735,332383.7940178541
